Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
570,Petr Ševčík,cz CZE,MF,cz Slavia Prague,25,1994,5,0,6,1,16.7,1.2,0.2,0,0,0,0,Matches
571,Xherdan Shaqiri,ch SUI,"FW,MF",eng Liverpool,27,1991,0,0,0,0,,0,0,,,0,0,Matches
572,Oleg Shatov,ru RUS,MF,ru Zenit,29,1990,2.6,0,1,0,0,0.39,0,0,,0,0,Matches
573,Danylo Sikan,ua UKR,FW,ua Shakhtar Donetsk,18,2001,0,0,0,0,,0,0,,,0,0,Matches
574,Bernardo Silva,pt POR,"FW,MF",eng Manchester City,24,1994,4.8,0,5,1,20,1.03,0.21,0,0,0,0,Matches
575,David Silva,es ESP,MF,eng Manchester City,33,1986,1.4,0,4,1,25,2.83,0.71,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
576,Rafa Silva,pt POR,"MF,FW",pt Benfica,26,1993,1.4,1,3,1,33.3,2.18,0.73,0.33,1,0,0,Matches
577,Thiago Silva,br BRA,DF,fr Paris Saint-Germain,34,1984,9,0,2,0,0,0.22,0,0,,0,0,Matches
578,Daley Sinkgraven,nl NED,DF,de Leverkusen,24,1995,1.1,0,0,0,,0,0,,,0,0,Matches
579,Moussa Sissoko,fr FRA,MF,eng Tottenham Hotspur,29,1989,4.7,0,2,0,0,0.43,0,0,,0,0,Matches
580,Mario Šitum,hr CRO,"DF,FW",hr Dinamo Zagreb,27,1992,0,0,0,0,,0,0,,,0,0,Matches
581,Oliver Skipp,eng ENG,MF,eng Tottenham Hotspur,18,2000,0.3,0,0,0,,0,0,,,0,0,Matches
582,Milan Škoda,cz CZE,FW,cz Slavia Prague,33,1986,0.8,0,1,1,100,1.25,1.25,0,0,0,0,Matches
583,Milan Škriniar,sk SVK,DF,it Inter,24,1995,6,0,1,1,100,0.17,0.17,0,0,0,0,Matches
584,Igor Smolnikov,ru RUS,DF,ru Zenit,30,1988,1.5,0,0,0,,0,0,,,0,0,Matches
585,Fyodor Smolov,ru RUS,FW,ru Loko Moscow,29,1990,2.2,0,3,0,0,1.34,0,0,,0,0,Matches
586,Eduard Sobol,ua UKR,"MF,DF",be Club Brugge,24,1995,2.9,0,0,0,,0,0,,,0,0,Matches
587,Carlos Soler,es ESP,MF,es Valencia,22,1997,4.4,1,6,2,33.3,1.38,0.46,0.17,0.5,0,0,Matches
588,Manor Solomon,il ISR,MF,ua Shakhtar Donetsk,20,1999,1.5,2,3,2,66.7,1.96,1.3,0.67,1,0,0,Matches
589,Tomáš Souček,cz CZE,MF,cz Slavia Prague,24,1995,6,2,14,6,42.9,2.33,1,0.07,0.17,1,1,Matches
590,Adama Soumaoro,fr FRA,DF,fr Lille,27,1992,1,0,0,0,,0,0,,,0,0,Matches
591,Boubakary Soumaré,fr FRA,MF,fr Lille,20,1999,5.8,0,2,1,50,0.34,0.17,0,0,0,0,Matches
592,Marco Sportiello,it ITA,GK,it Atalanta,27,1992,2,0,0,0,,0,0,,,0,0,Matches
593,Nicolae Stanciu,ro ROU,"MF,FW",cz Slavia Prague,26,1993,5.1,0,21,8,38.1,4.14,1.58,0,0,0,0,Matches
594,Cican Stankovic,at AUT,GK,at RB Salzburg,26,1992,3.4,0,0,0,,0,0,,,0,0,Matches
595,Taras Stepanenko,ua UKR,MF,ua Shakhtar Donetsk,29,1989,6,0,4,1,25,0.67,0.17,0,0,0,0,Matches
596,Raheem Sterling,eng ENG,"FW,MF",eng Manchester City,24,1994,6.7,6,24,14,58.3,3.59,2.1,0.25,0.43,0,0,Matches
597,Petar Stojanović,si SVN,"DF,MF",hr Dinamo Zagreb,23,1995,5.6,0,1,0,0,0.18,0,0,,0,0,Matches
598,John Stones,eng ENG,DF,eng Manchester City,25,1994,0.6,0,1,0,0,1.8,0,0,,0,0,Matches
599,Luis Suárez,uy URU,FW,es Barcelona,32,1987,6.3,5,22,14,63.6,3.49,2.22,0.18,0.29,1,1,Matches
600,Niklas Süle,de GER,DF,de Bayern Munich,23,1995,3.7,0,1,1,100,0.27,0.27,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
601,Aleksei Sutormin,ru RUS,"DF,FW",ru Zenit,25,1994,0.3,0,0,0,,0,0,,,0,0,Matches
602,Wojciech Szczęsny,pl POL,GK,it Juventus,29,1990,7,0,0,0,,0,0,,,0,0,Matches
603,Dominik Szoboszlai,hu HUN,MF,at RB Salzburg,18,2000,4.3,1,12,2,16.7,2.78,0.46,0.08,0.5,0,0,Matches
