Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Mattia De Sciglio,it ITA,DF,it Juventus,28,1992,3.2,0,0,0,5,2,0,22,7,7,,,0,Matches
152,Koni De Winter,be BEL,DF,it Juventus,19,2002,0.9,0,0,0,1,1,0,2,0,0,,,0,Matches
153,Thomas Delaney,dk DEN,MF,es Sevilla,29,1991,2.2,2,0,0,4,2,0,0,6,4,,,0,Matches
154,Liam Delap,eng ENG,FW,eng Manchester City,18,2003,0.1,0,0,0,2,0,0,0,0,0,,,0,Matches
155,Ousmane Dembélé,fr FRA,FW,es Barcelona,24,1997,1.4,0,0,0,1,2,1,10,0,0,,,0,Matches
156,Yusuf Demir,at AUT,FW,es Barcelona,18,2003,1.1,0,0,0,1,1,1,1,0,0,,,0,Matches
157,Merih Demiral,tr TUR,DF,it Atalanta,23,1998,4.1,1,0,0,4,2,0,0,9,5,,,0,Matches
158,Dentinho,br BRA,"FW,MF",ua Shakhtar Donetsk,32,1989,0.1,1,0,0,1,0,0,0,0,0,,,0,Matches
159,Sergiño Dest,us USA,"FW,MF",es Barcelona,20,2000,2.6,1,0,0,3,3,0,7,1,6,,,0,Matches
160,Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,20,2001,5,0,0,0,0,0,0,0,0,0,,,0,Matches
161,Ángel Di María,ar ARG,FW,fr Paris Saint-Germain,33,1988,2.9,0,0,0,4,2,1,7,0,2,,,0,Matches
162,Boulaye Dia,sn SEN,FW,es Villarreal,24,1996,2.9,0,0,0,3,3,4,0,1,0,,,0,Matches
163,Abdou Diallo,sn SEN,DF,fr Paris Saint-Germain,25,1996,1.8,0,0,0,4,0,0,0,5,2,,,0,Matches
164,Amad Diallo,ci CIV,MF,eng Manchester Utd,19,2002,0.7,0,0,0,1,1,0,0,1,1,,,0,Matches
165,Rúben Dias,pt POR,DF,eng Manchester City,24,1997,7.4,0,0,0,6,1,0,0,8,2,,,0,Matches
166,Ismael Diawara,ml MLI,GK,se Malmö,26,1994,2.5,0,0,0,0,1,0,0,0,0,,,0,Matches
167,Brahim Díaz,ma MAR,"FW,MF",it Milan,21,1999,3.9,1,0,0,3,12,0,1,0,0,,,0,Matches
168,Luis Díaz,co COL,MF,pt Porto,24,1997,5.8,1,0,0,11,5,2,6,3,4,,,0,Matches
169,Luis Díaz,co COL,FW,eng Liverpool,24,1997,4.3,0,0,0,5,5,0,6,0,0,,,0,Matches
170,Federico Dimarco,it ITA,"MF,DF",it Inter,23,1997,3.1,1,0,0,3,2,0,37,3,4,,,0,Matches
171,Junior Dina Ebimbe,cm CMR,MF,fr Paris Saint-Germain,20,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
172,Tiago Djaló,pt POR,DF,fr Lille,21,2000,5.9,1,0,0,5,8,0,3,6,5,,,0,Matches
173,Berat Djimsiti,al ALB,DF,it Atalanta,28,1993,2.9,0,0,0,3,1,0,1,7,3,,,0,Matches
174,Dodô,br BRA,DF,ua Shakhtar Donetsk,22,1998,6,0,0,0,5,7,0,10,5,9,,,0,Matches
175,Gianluigi Donnarumma,it ITA,GK,fr Paris Saint-Germain,22,1999,5,2,0,0,0,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Bas Dost,nl NED,FW,be Club Brugge,32,1989,0.8,0,0,0,2,1,2,0,0,0,,,0,Matches
177,Julian Draxler,de GER,FW,fr Paris Saint-Germain,27,1993,1.6,0,0,0,0,1,0,1,1,0,,,0,Matches
178,Gustavo Dulanto,pe PER,DF,md FC Sheriff Tiraspol,25,1995,6,3,0,0,4,1,1,1,6,11,,,0,Matches
179,Denzel Dumfries,nl NED,MF,it Inter,25,1996,5.2,1,0,0,12,7,0,13,5,2,,,0,Matches
180,Paulo Dybala,ar ARG,FW,it Juventus,27,1993,2.8,0,0,0,2,6,0,9,0,1,,,0,Matches
181,Edin Džeko,ba BIH,FW,it Inter,35,1986,6,0,0,0,3,10,2,8,2,0,,,0,Matches
182,Artem Dzyuba,ru RUS,FW,ru Zenit,32,1988,3.1,0,0,0,1,3,2,0,1,0,,,0,Matches
183,Ederson,br BRA,GK,eng Manchester City,27,1993,11.1,1,0,0,0,1,0,0,1,0,,,0,Matches
184,Marcus Edwards,eng ENG,"FW,MF",pt Sporting CP,22,1998,0.4,0,0,0,0,1,0,0,0,1,,,0,Matches
185,CJ Egan-Riley,eng ENG,DF,eng Manchester City,18,2003,1,0,0,0,1,0,0,1,0,0,,,0,Matches
186,Noah Eile,se SWE,DF,se Malmö,19,2002,0,0,0,0,0,0,0,0,0,0,,,0,Matches
187,Anthony Elanga,se SWE,"MF,FW",eng Manchester Utd,19,2002,1.9,0,0,0,3,2,1,1,3,3,,,0,Matches
188,Meschak Elia,cd COD,"FW,MF",ch Young Boys,23,1997,5.4,1,0,0,6,7,3,15,4,2,,,0,Matches
189,Harvey Elliott,eng ENG,MF,eng Liverpool,18,2003,0.6,0,0,0,0,1,0,1,0,0,,,0,Matches
190,Youssef En-Nesyri,ma MAR,FW,es Sevilla,24,1997,0.9,3,1,1,5,3,0,0,0,0,,,0,Matches
191,Aleksandr Erokhin,ru RUS,MF,ru Zenit,31,1989,1.2,0,0,0,2,2,0,2,0,1,,,0,Matches
192,Ricardo Esgaio,pt POR,DF,pt Sporting CP,28,1993,4.3,1,0,0,7,3,0,3,3,4,,,0,Matches
193,Dario Essugo,pt POR,MF,pt Sporting CP,16,2005,0.1,0,0,0,0,0,0,0,1,0,,,0,Matches
